GEO,GEO_OBJECT,FACILITY_DOM,FACILITY_SDOM,FACILITY_TYPE,BPE_MEASURE,TIME_PERIOD,OBS_VALUE
44061,COM,D,D2,D265,FACILITIES,2024,4
44037,COM,D,D2,D265,FACILITIES,2024,2
44023,COM,D,D2,D265,FACILITIES,2024,2
44182,COM,D,D2,D265,FACILITIES,2024,5
44209,COM,D,D2,D265,FACILITIES,2024,8
44135,COM,D,D2,D265,FACILITIES,2024,11
44014,COM,D,D2,D265,FACILITIES,2024,5
44168,COM,D,D2,D265,FACILITIES,2024,2
44133,COM,D,D2,D265,FACILITIES,2024,3
44162,COM,D,D2,D265,FACILITIES,2024,59
44053,COM,D,D2,D265,FACILITIES,2024,1
44027,COM,D,D2,D265,FACILITIES,2024,5
44089,COM,D,D2,D265,FACILITIES,2024,2
44069,COM,D,D2,D265,FACILITIES,2024,27
44035,COM,D,D2,D265,FACILITIES,2024,19
44081,COM,D,D2,D265,FACILITIES,2024,6
44120,COM,D,D2,D265,FACILITIES,2024,4
44145,COM,D,D2,D265,FACILITIES,2024,2
44052,COM,D,D2,D265,FACILITIES,2024,3
44048,COM,D,D2,D265,FACILITIES,2024,3
44029,COM,D,D2,D265,FACILITIES,2024,8
44096,COM,D,D2,D265,FACILITIES,2024,4
44151,COM,D,D2,D265,FACILITIES,2024,4
44022,COM,D,D2,D265,FACILITIES,2024,6
44054,COM,D,D2,D265,FACILITIES,2024,1
44212,COM,D,D2,D265,FACILITIES,2024,14
44180,COM,D,D2,D265,FACILITIES,2024,2
44184,COM,D,D2,D265,FACILITIES,2024,88
44223,COM,D,D2,D265,FACILITIES,2024,4
44188,COM,D,D2,D265,FACILITIES,2024,11
44006,COM,D,D2,D265,FACILITIES,2024,2
44142,COM,D,D2,D265,FACILITIES,2024,2
44129,COM,D,D2,D265,FACILITIES,2024,9
44084,COM,D,D2,D265,FACILITIES,2024,14
44186,COM,D,D2,D265,FACILITIES,2024,5
44216,COM,D,D2,D265,FACILITIES,2024,2
44074,COM,D,D2,D265,FACILITIES,2024,9
44170,COM,D,D2,D265,FACILITIES,2024,1
44202,COM,D,D2,D265,FACILITIES,2024,1
44056,COM,D,D2,D265,FACILITIES,2024,2
44192,COM,D,D2,D265,FACILITIES,2024,1
44001,COM,D,D2,D265,FACILITIES,2024,1
44106,COM,D,D2,D265,FACILITIES,2024,1
44026,COM,D,D2,D265,FACILITIES,2024,16
44032,COM,D,D2,D265,FACILITIES,2024,2
44158,COM,D,D2,D265,FACILITIES,2024,7
44131,COM,D,D2,D265,FACILITIES,2024,25
44079,COM,D,D2,D265,FACILITIES,2024,2
44047,COM,D,D2,D265,FACILITIES,2024,16
44003,COM,D,D2,D265,FACILITIES,2024,13
44111,COM,D,D2,D265,FACILITIES,2024,1
44175,COM,D,D2,D265,FACILITIES,2024,2
44117,COM,D,D2,D265,FACILITIES,2024,2
44211,COM,D,D2,D265,FACILITIES,2024,7
44068,COM,D,D2,D265,FACILITIES,2024,2
44036,COM,D,D2,D265,FACILITIES,2024,13
44178,COM,D,D2,D265,FACILITIES,2024,1
44066,COM,D,D2,D265,FACILITIES,2024,7
44015,COM,D,D2,D265,FACILITIES,2024,10
44025,COM,D,D2,D265,FACILITIES,2024,4
44067,COM,D,D2,D265,FACILITIES,2024,2
44045,COM,D,D2,D265,FACILITIES,2024,3
44126,COM,D,D2,D265,FACILITIES,2024,2
44043,COM,D,D2,D265,FACILITIES,2024,8
44109,COM,D,D2,D265,FACILITIES,2024,380
44194,COM,D,D2,D265,FACILITIES,2024,8
44154,COM,D,D2,D265,FACILITIES,2024,6
44136,COM,D,D2,D265,FACILITIES,2024,1
44091,COM,D,D2,D265,FACILITIES,2024,1
44038,COM,D,D2,D265,FACILITIES,2024,1
44116,COM,D,D2,D265,FACILITIES,2024,1
44094,COM,D,D2,D265,FACILITIES,2024,9
44098,COM,D,D2,D265,FACILITIES,2024,5
44099,COM,D,D2,D265,FACILITIES,2024,4
44057,COM,D,D2,D265,FACILITIES,2024,1
44114,COM,D,D2,D265,FACILITIES,2024,27
44163,COM,D,D2,D265,FACILITIES,2024,4
44062,COM,D,D2,D265,FACILITIES,2024,1
44144,COM,D,D2,D265,FACILITIES,2024,3
44176,COM,D,D2,D265,FACILITIES,2024,1
44185,COM,D,D2,D265,FACILITIES,2024,1
44143,COM,D,D2,D265,FACILITIES,2024,81
44201,COM,D,D2,D265,FACILITIES,2024,7
44150,COM,D,D2,D265,FACILITIES,2024,2
44072,COM,D,D2,D265,FACILITIES,2024,5
44119,COM,D,D2,D265,FACILITIES,2024,1
44100,COM,D,D2,D265,FACILITIES,2024,2
44030,COM,D,D2,D265,FACILITIES,2024,1
44002,COM,D,D2,D265,FACILITIES,2024,4
44210,COM,D,D2,D265,FACILITIES,2024,6
44024,COM,D,D2,D265,FACILITIES,2024,3
44189,COM,D,D2,D265,FACILITIES,2024,3
44193,COM,D,D2,D265,FACILITIES,2024,1
44101,COM,D,D2,D265,FACILITIES,2024,9
44113,COM,D,D2,D265,FACILITIES,2024,5
44063,COM,D,D2,D265,FACILITIES,2024,5
44070,COM,D,D2,D265,FACILITIES,2024,4
44152,COM,D,D2,D265,FACILITIES,2024,4
44172,COM,D,D2,D265,FACILITIES,2024,15
44137,COM,D,D2,D265,FACILITIES,2024,2
44082,COM,D,D2,D265,FACILITIES,2024,1
44206,COM,D,D2,D265,FACILITIES,2024,1
44075,COM,D,D2,D265,FACILITIES,2024,1
44183,COM,D,D2,D265,FACILITIES,2024,3
44187,COM,D,D2,D265,FACILITIES,2024,6
44169,COM,D,D2,D265,FACILITIES,2024,5
44138,COM,D,D2,D265,FACILITIES,2024,1
44130,COM,D,D2,D265,FACILITIES,2024,9
44013,COM,D,D2,D265,FACILITIES,2024,1
44051,COM,D,D2,D265,FACILITIES,2024,4
44055,COM,D,D2,D265,FACILITIES,2024,21
44132,COM,D,D2,D265,FACILITIES,2024,17
44203,COM,D,D2,D265,FACILITIES,2024,2
44050,COM,D,D2,D265,FACILITIES,2024,1
44174,COM,D,D2,D265,FACILITIES,2024,1
44071,COM,D,D2,D265,FACILITIES,2024,7
44155,COM,D,D2,D265,FACILITIES,2024,3
44217,COM,D,D2,D265,FACILITIES,2024,4
44156,COM,D,D2,D265,FACILITIES,2024,2
44077,COM,D,D2,D265,FACILITIES,2024,1
44021,COM,D,D2,D265,FACILITIES,2024,3
44018,COM,D,D2,D265,FACILITIES,2024,8
44028,COM,D,D2,D265,FACILITIES,2024,2
44020,COM,D,D2,D265,FACILITIES,2024,16
44198,COM,D,D2,D265,FACILITIES,2024,9
44041,COM,D,D2,D265,FACILITIES,2024,4
44009,COM,D,D2,D265,FACILITIES,2024,10
44128,COM,D,D2,D265,FACILITIES,2024,4
44103,COM,D,D2,D265,FACILITIES,2024,2
44046,COM,D,D2,D265,FACILITIES,2024,3
44102,COM,D,D2,D265,FACILITIES,2024,1
44110,COM,D,D2,D265,FACILITIES,2024,13
44005,COM,D,D2,D265,FACILITIES,2024,4
44012,COM,D,D2,D265,FACILITIES,2024,3
44039,COM,D,D2,D265,FACILITIES,2024,1
44204,COM,D,D2,D265,FACILITIES,2024,15
44190,COM,D,D2,D265,FACILITIES,2024,23
44088,COM,D,D2,D265,FACILITIES,2024,1
44213,COM,D,D2,D265,FACILITIES,2024,3
44033,COM,D,D2,D265,FACILITIES,2024,3
44179,COM,D,D2,D265,FACILITIES,2024,3
44195,COM,D,D2,D265,FACILITIES,2024,11
44049,COM,D,D2,D265,FACILITIES,2024,2
44161,COM,D,D2,D265,FACILITIES,2024,3
44087,COM,D,D2,D265,FACILITIES,2024,5
44097,COM,D,D2,D265,FACILITIES,2024,1
44073,COM,D,D2,D265,FACILITIES,2024,9
44064,COM,D,D2,D265,FACILITIES,2024,3
44215,COM,D,D2,D265,FACILITIES,2024,31
44166,COM,D,D2,D265,FACILITIES,2024,5
44127,COM,D,D2,D265,FACILITIES,2024,2
